,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
87,569,S2,B-A,16.0,mem_K,mem_3,43.0,1.0,left,0.3679563860641792
88,570,S2,B-A,17.0,per_K,per_3,31.0,0.0,right,1.0917421644553542
89,571,S2,B-A,18.0,per_K,per_10,38.0,1.0,left,0.6184332590783015
90,572,S2,B-A,19.0,mem_K,mem_4,44.0,1.0,right,1.0767327744979411
91,573,S2,B-A,20.0,per_K,per_6,34.0,0.0,right,0.2525460572214797
92,574,S2,B-A,21.0,per_K,per_8,36.0,0.0,right,0.0139023078372702
93,575,S2,B-A,22.0,per_K,per_1,29.0,0.0,right,0.3596585068153217
94,576,S2,B-A,23.0,mem_K,mem_7,47.0,1.0,right,0.0199446242768317
95,577,S2,B-A,24.0,mem_K,mem_11,51.0,1.0,left,0.3346083173528313
96,578,S2,B-A,25.0,mem_K,mem_11,51.0,1.0,left,0.4768274754751473
97,579,S2,B-A,26.0,per_K,per_2,30.0,0.0,right,0.2430047470843419
98,580,S2,B-A,27.0,per_K,per_7,35.0,0.0,right,0.0446502718841657
99,581,S2,B-A,28.0,mem_K,mem_8,48.0,1.0,right,0.615172621794045
100,582,S2,B-A,29.0,per_K,per_3,31.0,0.0,right,0.417765476508066
101,583,S2,B-A,30.0,per_K,per_10,38.0,1.0,left,0.3226645167451352
102,584,S2,B-A,31.0,mem_K,mem_7,47.0,1.0,right,0.5371903288178146
103,585,S2,B-A,32.0,mem_K,mem_9,49.0,1.0,left,0.6702807289548218
104,586,S2,B-A,33.0,per_K,per_11,39.0,1.0,left,0.1736963139846921
105,587,S2,B-A,34.0,per_K,per_6,34.0,0.0,right,1.6764462336432189
106,588,S2,B-A,35.0,mem_K,mem_6,46.0,1.0,left,0.1224535569781437
107,589,S2,B-A,36.0,mem_K,mem_10,50.0,1.0,left,0.1369958582799881
108,590,S2,B-A,37.0,per_K,per_9,37.0,0.0,right,0.5743052614852786
109,591,S2,B-A,38.0,mem_K,mem_3,43.0,1.0,left,1.4510041516041383
110,592,S2,B-A,39.0,per_K,per_4,32.0,0.0,right,0.3230764272157103
111,593,S2,B-A,40.0,per_K,per_8,36.0,0.0,right,0.0647280215052887
112,594,S2,B-A,41.0,mem_K,mem_1,41.0,1.0,right,0.1785420367959886
113,595,S2,B-A,42.0,per_K,per_5,33.0,0.0,right,0.0223086184123531
114,596,S2,B-A,43.0,per_K,per_12,40.0,1.0,left,0.095591795281507
115,597,S2,B-A,44.0,mem_K,mem_5,45.0,1.0,right,0.3185999481938779
116,598,S2,B-A,45.0,mem_K,mem_4,44.0,1.0,left,1.0686036373954266
117,599,S2,B-A,46.0,per_K,per_1,29.0,0.0,right,1.045619095559232
